Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count
098-577-804-253-049,Study of limit cycle in antagonistically coupled magneto-rheological actuators☆,,2015,journal article,Control Engineering Practice,09670661,Elsevier BV,United Kingdom,Peyman Yadmellat; Mehrdad R. Kermani,"Abstract In this paper, the presence of limit cycles in the behaviour of antagonistically coupled magneto-rheological (MR) actuators is investigated. The actuator considered in this paper offers high torque-to-mass and torque-to-inertia ratios, for inherent safe actuation. While the antagonistic arrangement is beneficial in improving the actuator performance and eliminating backlash, it may result in limit cycles when the actuator operates in a position control loop. The occurrence of a limit cycle depends on the parameters of the actuator as well as the controller. An in-depth analysis is carried out in this paper to establish a connection between the system parameters and the limit cycle occurrence. Moreover, sufficient conditions for avoiding limit cycles are derived specifically for a proportional-derivative (PD) controller. Simulations and experimental results validate the analysis and provide insights into conditions under which limit cycles are observed in the operation of antagonistic MR actuators.",35,,92,101,Engineering; Control engineering; Nonlinear system; Actuator; Backlash; Magneto rheological; System parameters; Position control; Control theory; Control theory; Limit cycle,,,,,https://www.sciencedirect.com/science/article/pii/S0967066114002688,http://dx.doi.org/10.1016/j.conengprac.2014.11.006,,10.1016/j.conengprac.2014.11.006,2074977088,,0,003-255-987-433-721; 008-345-966-188-270; 030-703-441-659-492; 031-198-973-607-943; 033-927-853-470-073; 038-381-279-325-583; 038-795-494-143-993; 042-164-878-478-198; 048-002-050-280-436; 050-203-680-948-472; 058-031-107-565-340; 061-976-301-837-048; 063-332-837-575-356; 076-620-239-978-620; 083-285-000-094-08X; 094-310-209-901-461; 108-311-791-658-620; 120-834-516-173-44X; 126-890-654-239-536; 162-238-350-940-225; 169-275-099-201-306; 183-174-952-905-007,1
098-616-854-750-798,Design of a device for the high-fidelity haptic rendering of rotatory car doors,,2009,conference proceedings,2009 2nd Conference on Human System Interactions,,IEEE,,M. Strolz; Claudia Ehinger; Martin Buss,"To enable a realistic virtual prototyping of both actuated and unactuated rotatory car doors, a dedicated haptic device is developed. A fundamental issue is the derivation of the specific requirements for this interface, which is done based on knowledge of the typical user interaction with a car door and a comprehensive model of the dynamics of an actuated as well as an unactuated car door. The findings are that the device should only exhibit one rotatory degree-of-freedom, which should be actuated by a direct drive with a high torque output (≥ 100Nm) and very high position resolution (≥ 16Bit). A suitable direct-drive is selected and combined with other elements to form a backlash-free, very stiff haptic device. Due to both force and acceleration sensing, it can serve for the haptic rendering of actuated as well as unactuated car doors. Furthermore, a thorough safety scheme ensures a safe operation of the human-system-interaction.",,,199,206,Acceleration; Doors; Torque; Haptic technology; Artificial intelligence; Actuator; Virtual prototyping; Robotics; Computer science; Simulation; Vehicle dynamics,,,,,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000005090979 https://mediatum.ub.tum.de/979714,http://dx.doi.org/10.1109/hsi.2009.5090979,,10.1109/hsi.2009.5090979,2149412449,,0,000-459-494-720-867; 004-649-455-595-357; 005-192-172-363-782; 005-222-695-687-246; 011-103-517-497-277; 027-020-448-639-485; 039-724-513-976-48X; 047-755-256-453-523; 053-528-204-597-784; 056-143-847-152-019; 076-261-114-349-829; 081-984-164-385-924; 092-359-780-212-264; 115-782-906-119-921; 147-160-630-802-272; 157-661-536-111-350; 174-963-692-005-55X,3
098-762-795-270-502,Magnetostrictive direct drive rotary motor development,,1991,journal article,IEEE Transactions on Magnetics,00189464; 19410069,Institute of Electrical and Electronics Engineers (IEEE),United States,J.M. Vranish; D.P. Naik; J.B. Restorff; J.P. Teter,"Highly Magnetostrictive materials such as Tb/sub 0.3/Dy/sub 0.7/Fe/sub 2/, commercially known as Terfenol-D, have been used to date in a variety of devices such as high-power actuators and linear motors. The larger magnetostriction available in twinned single-crystal Terfenol-D, approximately 2000 p.p.m. at moderate magnetic field strengths, makes possible a new generation of magneto-mechanical devices. The authors are investigating the potential of this material as the basis of a direct micro-stepping rotary motor. Such a motor would be a high torque micro-radian stepper, capable of precision movements and self-braking in the power off state. A motor prototype being developed based on the proven 'inch worm' technique is presented. Results of mathematical modeling techniques are presented, including magnetic, structural, and both linear and nonlinear dynamic calculations. >",27,6,5355,5357,Magnetic field; Torque; Actuator; Stepper; Materials science; Terfenol-D; Nuclear magnetic resonance; Linear motor; Rotary engine; Magnetostriction; Mechanical engineering,,,,,https://ui.adsabs.harvard.edu/abs/1991ITM....27.5355V/abstract https://ieeexplore.ieee.org/document/278837/ http://ieeexplore.ieee.org/document/278837/,http://dx.doi.org/10.1109/20.278837,,10.1109/20.278837,2147589616,,3,,47
099-451-045-922-899,유전자 알고리즘을 이용한 새로운 무릎 보장구의 최적 설계,2011-10-01,2011,,,,,,null 표상훈; null 윤정원,"The objective of this paper is to optimize the design parameters of a novel mechanism for a robotic knee orthosis. The feature of the proposed knee othosis is to drive a knee joint with independent actuation during swing and stance phases, which can allow an actuator with fast rotation to control swing motions and an actuator with high torque to control stance motions, respectively. The quadriceps device operates in five-bar links with 2-DOF motions during swing phase and is changed to six-bar links during stance phase by the contact motion to the patella device. The hamstring device operates in a slider-crank mechanism for entire gait cycle. The suggested kinematic model will allow a robotic knee orthosis to use compact and light actuators with full support during walking. However, the proposed orthosis must use additional linkages than a simple four-bar mechanism. To maximize the benefit of reducing the actuators power by using the developed kinematic design, it is necessary to minimize total weight of the device, while keeping necessary actuator performances of torques and angular velocities for support. In this paper, we use a SGA (Simple Genetic Algorithm) to minimize sum of total link lengths and motor power by reducing the weight of the novel knee orthosis. To find feasible parameters, kinematic constraints of the hamstring and quadriceps mechanisms have been applied to the algorithm. The proposed optimization scheme could reduce sum of total link lengths to half of the initial value. The proposed optimization scheme can be applied to reduce total weight of general multi-linkages while keeping necessary actuator specifications.",17,10,1021,1028,Engineering; Torque; Exoskeleton; Actuator; Hamstring; Knee Joint; Kinematics; Simulation; Control theory; Swing; Linkage (mechanical),,,,,http://www.dbpia.co.kr/Article/NODE01952957,http://www.dbpia.co.kr/Article/NODE01952957,,,1918782136,,0,,0
099-839-678-876-07X,Design of Robotic Hand-Glove for Assisting Mobility Impaired,2016-05-04,2016,book chapter,Proceedings of First International Conference on Information and Communication Technology for Intelligent Systems: Volume 2,21903018; 21903026,Springer International Publishing,Germany,Ramalatha Marimuthu; Sathyavathi Ramkumar; Harshini Infanta; Alagu Meenal; null Preethi,"This project explains the design of a robotic glove system specific to the applications of mobility impaired. It is mounted on a moving base which will help the user in accessing objects that are not within arm’s reach. A robotic arm will replicate the movements of wrist, elbow and shoulder joint of a person in response to movements produced by a wireless glove to perform the picking, gripping and moving actions. For gripping action a clamp based mechanism is used. Flex sensors produce the signals proportional to the amount and direction of movement of the user’s hand to actuate the clamp through high torque dc servo motors. For arm movement a potentiometer is used. The control circuit using arduino regulates the amount and direction of arm movement through feedback from the actuator.",,,595,605,Servomotor; Arduino; Robotic arm; Actuator; Potentiometer; Clamp; Robotic hand; Control circuit; Computer science; Simulation,,,,,https://link.springer.com/chapter/10.1007%2F978-3-319-30927-9_59 https://rd.springer.com/chapter/10.1007/978-3-319-30927-9_59,http://dx.doi.org/10.1007/978-3-319-30927-9_59,,10.1007/978-3-319-30927-9_59,2469022076,,0,001-239-616-298-96X; 005-985-033-504-231; 020-683-739-514-706; 031-557-946-791-863; 059-182-600-012-904; 067-209-660-633-558; 071-789-365-323-184; 072-833-500-502-081; 091-511-979-476-555; 094-326-622-929-181; 107-338-973-879-33X; 118-923-279-142-019; 123-110-327-636-586,0
100-474-280-016-226,Feasibility study & system conceptual design for the spherical actuator,2011-12-19,2011,conference proceedings,,,,,Gee-Yong Park; Hyungjoo Yoon; Dae-Kwan Kim; Ki-Lyuk Yong; Sergei E. Petrov,"This paper reports on the development of a spherical actuator which is an innovative satellite attitude control device. The spherical actuator consists of a spherical rigid metal ball which can rotate around arbitrary axes by magnetic levitation and 6 electromagnets which are allocated in pairs at each axis. The study is motivated from the possibilities of high torque generation, mass reduction and long life time and limitations of the conventional attitude control device such as singularity problem in Control Moment Gyroscope and low torque generation in reaction wheel. As a seed project at KARI, the purpose of this year is to study the feasibilities of the system and to design conceptually for the spherical actuator. To be more specific, the experiment of magnetic levitation and rotating of the spherical ball in 1 axis are scheduled to finish this year. In this study, the concept of spherical actuator and the mathematical model for the spherical actuator is present. In addition, some simulation results and analysis for the design parameters are shown.",,,1875,1879,Electromagnet; Physics; Control moment gyroscope; Torque; Attitude control; Gyroscope; Actuator; Reaction wheel; Magnetic levitation; Control theory,,,,,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000006106184,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000006106184,,,1513439582,,0,062-086-480-192-581,1
100-508-803-186-922,IROS - Ultra high-speed Robot Based on 1 kHz vision system,,2012,conference proceedings,2012 IEEE/RSJ International Conference on Intelligent Robots and Systems,,IEEE,,Masatoshi Ishikawa; Akio Namiki; Taku Senoo; Yuji Yamakawa,"This video introduces an ultra high-speed robot as a milestone in the history of intelligent manipulation systems. To develop the ultra high-speed robot under the concept of dynamics matching, we began with the development of a 1 kHz vision system. Next, we developed a sensory-motor fusion system by introducing the 1 kHz vision system. In addition, we have developed a new high-torque mini actuator and a high-speed multi-fingered hand with these incorporated. Integration of these components brings real-time dexterous manipulations unlike commonly-used control based on prediction or learning.",,,5460,5461,Automation; Engineering; Social robot; Model predictive control; Actuator; Robot learning; Simulation; Machine vision; Robot control; Robot,,,,,http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000006386295 https://dblp.uni-trier.de/db/conf/iros/iros2012.html#IshikawaNSY12 https://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6386295 http://dx.doi.org/10.1109/IROS.2012.6386295 http://ieeexplore.ieee.org/document/6386295/,http://dx.doi.org/10.1109/iros.2012.6386295,,10.1109/iros.2012.6386295,2081794251,,0,002-269-309-609-506; 004-309-707-156-377; 004-556-523-609-165; 016-663-664-243-75X; 018-495-144-551-663; 063-021-376-115-745; 065-224-933-427-059; 100-777-969-996-023; 108-243-993-600-96X; 116-036-348-005-920; 121-545-308-776-276; 149-644-317-416-731,10
101-779-369-499-07X,Mechanism of attitude control device for floating object,,,conference proceedings,"IEEE International Conference on Industrial Technology, 2003",,IEEE,,Toshiaki Tsuji; Kouhei Ohnishi,"This paper describes the new mechanism on attitude control device for unfixed objects. Flywheel is a common attitude control device on spacecraft that provides precise control at an easy rate. However, rapid response is hardly achieved since low reaction torque is available applying flywheel. The purpose in this paper is to improve the response of attitude control device with flywheel. Brake equipment is mounted on the flywheel in order to raise the maximum torque. Maximum torque is raised dramatically utilizing the braking torque to the attitude control. Twin drive system is applied to this attitude control device so that the braking torque works in both rotation directions. It also made possible to charge the momentum without any interference to attitude control. The prototype of the attitude control device is constructed in order to examine the performance of the proposed mechanism. Experimental results show that its response improved applying the suggested mechanism. The two actuators, an electric DC motor and a powder brake, were compared in detail. It was shown that powder brake can apply high torque without large power supply in any frequency.",1,,250,255,Torque sensor; Direct torque control; Engineering; Torque; Attitude control; Automotive engineering; Stall torque; Torque motor; Flywheel; Damping torque; Control theory,,,,,https://keio.pure.elsevier.com/ja/publications/mechanism-of-attitude-control-device-for-floating-object https://ieeexplore.ieee.org/document/1290286/,http://dx.doi.org/10.1109/icit.2003.1290286,,10.1109/icit.2003.1290286,2118580948,,0,006-733-378-171-060; 012-994-903-654-339; 024-974-875-969-858; 025-357-993-812-125; 034-002-888-578-473; 038-223-094-325-057; 052-503-457-974-106; 069-159-016-436-596; 122-923-420-513-988; 123-998-241-901-072; 194-881-545-556-921,2
102-337-764-030-915,Compliant aerial manipulation.,2019-01-15,2019,dissertation,,,,,Alejandro Suárez Fernández-Miranda,"The aerial manipulation is a research field which proposes the integration of robotic manipulators in aerial platforms, typically multirotors – widely known as “drones” – or autonomous helicopters. The development of this technology is motivated by the convenience to reduce the time, cost and risk associated to the execution of certain operations or tasks in high altitude areas or difficult access workspaces. Some illustrative application examples are the detection and insulation of leaks in pipe structures in chemical plants, repairing the corrosion in the blades of wind turbines, the maintenance of power lines, or the installation and retrieval of sensor devices in polluted areas. Although nowadays it is possible to find a wide variety of commercial multirotor platforms with payloads from a few gramps up to several kilograms, and flight times around thirty minutes, the development of an aerial manipulator is still a technological challenge due to the strong requirements relative to the design of the manipulator in terms of very low weight, low inertia, dexterity, mechanical robustness and control.;  The main contribution of this thesis is the design, development and experimental validation of several prototypes of lightweight (<2 kg) and compliant manipulators to be integrated in multirotor platforms, including human-size dual arm systems, compliant joint arms equipped with human-like finger modules for grasping, and long reach aerial manipulators. Since it is expected that the aerial manipulator is capable to execute inspection and maintenance tasks in a similar way a human operator would do, this thesis proposes a bioinspired design approach, trying to replicate the human arm in terms of size, kinematics, mass distribution, and compliance. This last feature is actually one of the key concepts developed and exploited in this work. Introducing a flexible element such as springs or elastomers between the servos and the links extends the capabilities of the manipulator, allowing the estimation and control of the torque/force, the detection of impacts and overloads, or the localization of obstacles by contact. It also improves safety and efficiency of the manipulator, especially during the operation on flight or in grabbing situations, where the impacts and contact forces may damage the manipulator or destabilize the aerial platform. Unlike most industrial manipulators, where force-torque control is possible at control rates above 1 kHz, the servo actuators typically employed in the development of aerial manipulators present important technological limitations: no torque feedback nor control, only position (and in some models, speed) references, low update rates (<100 Hz), and communication delays. However, these devices are still the best solution due to their high torque to weight ratio, low cost, compact design, and easy assembly and integration. In order to cope with these limitations, the compliant joint arms presented here estimate and control the wrenches from the deflection of the spring-lever transmission mechanism introduced in the joints, measured at joint level with encoders or potentiometers, or in the Cartesian space employing vision sensors. Note that in the developed prototypes, the maximum joint deflection is around 25 degrees, which corresponds to a deviation in the position of the end effector around 20 cm for a human-size arm. The capabilities and functionalities of the manipulators have been evaluated in fixed base test-bench firstly, and then in outdoor flight tests, integrating the arms in different commercial hexarotor platforms. Frequency characterization, position/force/impedance control, bimanual grasping, arm teleoperation, payload mass estimation, or contact-based obstacle localization are some of the experiments presented in this thesis that validate the developed prototypes.",,,,,Servo; Control engineering; Torque; Payload; Teleoperation; Impedance control; Multirotor; Kinematics; Computer science; Robot end effector,,,,,https://dialnet.unirioja.es/servlet/tesis?codigo=210901 https://idus.us.es/handle/11441/81917,https://dialnet.unirioja.es/servlet/tesis?codigo=210901,,,2911285640,,0,,1
102-384-312-296-183,Design and Experimental Characterization of a Shoulder-Elbow Exoskeleton With Compliant Joints for Post-Stroke Rehabilitation,,2019,journal article,IEEE/ASME Transactions on Mechatronics,10834435; 1941014x,Institute of Electrical and Electronics Engineers (IEEE),United States,Emilio Trigili; Simona Crea; Matteo Moise; Andrea Baldoni; Marco Cempini; Giorgia Ercolini; Dario Marconi; Federico Posteraro; Maria Chiara Carrozza; Nicola Vitiello,"This paper presents the design and experimental characterization of a 4-degree-of-freedom shoulder-elbow exoskeleton, NeuroExos Shoulder-elbow Module (NESM), for upper-limb neurorehabilitation and treatment of spasticity. The NESM employs a self-aligning mechanism based on passive rotational joints to smoothly self-align the robot's rotational axes to the user's ones. Compliant yet high-torque series-elastic actuators allow the NESM to safely interact with the user, particularly in response to sudden unpredicted movements, such as those caused by spastic contractions. The NESM control system provides a variety of rehabilitation exercises, enabling the customization of therapy to patients exhibiting a range of movement capabilities. Available exercises include passive mobilization, active-assisted, active-resisted, and active-disturbed training modes. The experimental characterization of two NESM actuation units demonstrated position and torque control performance suitable for use in neurorehabilitation applications, including up to 7 Hz of bandwidth in torque control. An algorithm for online detection of spastic contractions or sudden object collisions has been implemented and tested as well, with results suggesting that the current system can ensure safe interaction with patients.",24,4,1485,1496,Torque; Exoskeleton; Pulley; Actuator; Control system; Kinematics; Computer science; Simulation; Neurorehabilitation; Robot,,,,Horizon 2020 Framework Programme; Horizon 2020 Framework Programme; Regione Toscana; Regione Toscana,https://ieeexplore.ieee.org/document/8721566,http://dx.doi.org/10.1109/tmech.2019.2907465,,10.1109/tmech.2019.2907465,2944933349,,0,001-529-213-818-305; 003-349-126-250-63X; 003-707-535-548-397; 006-538-060-312-405; 008-877-701-250-742; 017-904-259-865-10X; 024-837-097-569-346; 024-998-971-317-573; 030-618-768-389-424; 037-773-105-851-07X; 040-355-989-582-376; 040-488-893-988-426; 043-798-162-884-255; 044-055-196-726-49X; 047-770-730-377-608; 047-774-314-014-208; 049-187-465-316-98X; 052-019-025-481-67X; 053-356-789-989-071; 055-715-240-361-740; 057-130-715-071-771; 059-405-569-935-318; 059-619-238-649-804; 064-281-065-070-647; 064-685-150-535-470; 068-749-242-690-131; 069-601-481-257-218; 075-054-357-808-42X; 079-890-003-381-296; 084-528-346-887-669; 085-001-525-760-554; 088-331-766-925-939; 092-104-729-024-829; 093-983-744-799-948; 094-028-906-163-864; 102-936-656-382-248; 104-952-723-844-979; 119-906-782-110-630; 138-719-087-265-126; 145-443-878-726-848; 176-638-248-681-467,6
103-698-189-198-876,Swashplate Pitch Link Design Optimization and Kinematic Synthesis Using Semi Compliant Mechanism,2020-03-28,2020,conference proceedings,2020 SoutheastCon,,IEEE,,Niko Giannakakos; Ayse Tekes; Adeel Khalid,"This study presents the design, analysis and modeling of a large deflecting compliant swashplate mechanism that is actuated by rigid pitch links. Pitch links are actuated by high torque servo motors. Kinematic analysis of the entire mechanism is obtained by integrating vector closure loop equations. Modeling of small length flexural pivots is achieved by fitting a high order polynomial to the load deflection curve obtained from both pseudo rigid body modeling (PRBM) and MSc Adams analysis. Effects of the thickness and length of the rigid and flexures on deflection of flexible segments are analyzed experimentally. Experimental setup is built by 3D printing mechanism parts using polylactic acid (PLA) and assembling together with ball bearings and pin joints. Tip position of the mechanism is recorded by laser displacement sensor, Arduino and Matlab. It is observed that higher amplitude, quicker response time and precise motion can be achieved by the proposed compliant mechanism.",,,,,Deflection (engineering); Servomotor; Rigid body; Response time; Materials science; Swashplate; Kinematics; Structural engineering; Compliant mechanism; Ball bearing,,,,,http://xplorestaging.ieee.org/ielx7/9249446/9249447/09249653.pdf?arnumber=9249653 http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=9249653,http://dx.doi.org/10.1109/southeastcon44009.2020.9249653,,10.1109/southeastcon44009.2020.9249653,3098370477,,0,002-580-648-395-524; 004-986-725-643-310; 015-595-614-301-335; 037-445-561-954-512; 047-320-011-638-690; 049-524-410-783-77X; 075-575-665-059-639; 078-249-622-436-962; 084-639-628-595-594; 089-702-214-052-013; 112-941-086-353-603; 134-973-224-981-910; 169-559-148-657-153,0
104-295-085-588-503,The Gear Bearing Drive: A Novel Compact Actuator for Robotic Joints,2013-08-04,2013,conference proceedings article,Volume 6B: 37th Mechanisms and Robotics Conference,,American Society of Mechanical Engineers,,Elias Brassitos; Constantinos Mavroidis; Brian Weinberg,"Advanced robotics requires a new generation of actuators able to exhibit a number of desirable characteristics ranging from high power density and high efficiency, high positioning resolution, high torque capacity and torsional stiffness, lightweight designs and low-cost packages. In this paper, we present the development and the experimental evaluation of a new actuator, aimed at improving the torque density and mechanical efficiency of actuated robotic joints, and enhancing the portability and effectiveness of robotic systems engaged in biomechanical applications such as rehabilitation robots and wearable exoskeletons. The new actuator, called the Gear Bearing Drive (GBD), consists of a two-stage planetary gear arrangement coupled through the planets and driven by an external rotor brushless motor that is inscribed within the input stage sun gear. This planetary configuration enables for incredible high-speed reductions and allows for embedding the motor directly within the gearbox saving significant space on the actuator length. Our initial experimental prototypes have demonstrated impressive performance with the potential to deliver more than 30Nm of continuous torque with 85% mechanical efficiency and 0.0005 degree of backlash, and up to 200 rpm maximum output speed in a highly compact and robust package.© 2013 ASME",,,,,Non-circular gear; Bearing (mechanical); Engineering; Torque; Artificial intelligence; Actuator; Rotor (electric); Backlash; Torque density; Robotics; Mechanical engineering,,,,,https://risk.asmedigitalcollection.asme.org/IDETC-CIE/proceedings/IDETC-CIE2013/55942/V06BT07A020/255517 https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings/IDETC-CIE2013/55942/V06BT07A020/255517 http://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=1830741,http://dx.doi.org/10.1115/detc2013-13461,,10.1115/detc2013-13461,2034589685,,0,,3
104-297-307-190-250,Piezoelectric PZT MEMS technologies for small-scale robotics and RF applications,2012-11-12,2012,journal article,MRS Bulletin,08837694; 19381425,Cambridge University Press (CUP),United Kingdom,Jeffrey S. Pulskamp; Ronald G. Polcawich; Ryan Q. Rudy; Sarah S. Bedair; Robert M. Proie; Tony Ivanov; Gabriel L. Smith,"Thin-film piezoelectric lead zirconate titanate (PZT) is one of the most efficient electromechanical coupling transducer materials currently available for microelectromechanical systems (MEMS). This article reviews piezoelectric MEMS (piezo MEMS) technologies using PZT thin films in radio frequency (RF) devices for communications and radar applications and in the emerging field of millimeter-scale robotics. The electromechanical material properties of thin-film PZT uniquely enable insect-inspired and insect-scale autonomous robots. Recent progress on large force and displacement actuators for robotic leg joints, compact and high torque ultrasonic motors, and bioinspired millimeter-scale flapping wing platforms will be presented. The use of thin-film PZT to achieve high performance and low-voltage RF MEMS switches, ultralow power consumption nanomechanical logic circuits, and high coupling and low loss resonators, filters, and transformers are also reviewed.",37,11,1062,1070,Piezoelectricity; Electrical engineering; Ultrasonic motor; Materials science; Lead zirconate titanate; Microelectromechanical systems; Transducer; PMUT; Radio frequency; Resonator,,,,,http://journals.cambridge.org/abstract_S0883769412002692 https://www.cambridge.org/core/journals/mrs-bulletin/article/piezoelectric-pzt-mems-technologies-for-smallscale-robotics-and-rf-applications/2E9DC1C7D0A6FF84A89C32B759710C22,http://dx.doi.org/10.1557/mrs.2012.269,,10.1557/mrs.2012.269,2052084799,,2,000-697-841-322-104; 004-007-446-551-956; 005-724-300-643-645; 008-497-832-971-828; 016-601-365-348-929; 020-842-120-839-780; 021-215-641-808-131; 025-540-249-590-224; 029-908-642-464-265; 030-248-759-637-363; 047-923-268-875-387; 050-124-004-329-830; 050-154-853-998-69X; 054-146-720-182-158; 055-602-528-077-932; 058-763-616-037-486; 064-507-723-637-289; 065-834-641-017-152; 081-225-127-237-423; 094-174-314-739-570; 095-775-832-725-38X; 097-050-059-102-875; 120-405-031-498-937; 124-060-015-351-737; 125-405-141-673-697; 130-856-452-570-744; 135-707-722-020-455; 145-030-412-226-90X; 162-904-001-289-00X; 178-682-389-478-391; 181-752-074-821-254; 184-951-738-567-027,47
104-564-033-573-441,Method for Low-Speed Driving of a Standing-Wave-Type Ultrasonic Actuator,,2011,journal article,TRANSACTIONS OF THE JAPAN SOCIETY OF MECHANICAL ENGINEERS Series C,18848354,Japan Society of Mechanical Engineers,,Mamiko Ito; Akihiro Naganawa,"Ultrasonic actuators have applicability in various fields such as mechanical engineering and medical engineering owing to their advantage such as high torque, soundless motion and so on. However, these actuators have a dead-zone property, that is, they cannot be driven if it must be applied a signal having a driving frequency near the resonance frequency or a high voltage above a certain voltage. Therefore, it is difficult to drive ultrasonic actuators at low-speed. In this note, we propose a method for low-speed driving of a standing-wave-type ultrasonic actuator which can drive using one phase signal. In this method, an intermittent signal generated using a standard PC is supplied to the actuator instead of a continuous signal. Experimental results show that the property of a low-speed drive of less than 5 rpm was achieved with the proposed method.",77,775,1086,1089,Resonance; Engineering; Voltage; Actuator; Standing wave; Ultrasonic actuator; Low speed; Control theory; Continuous signal; Ultrasonic sensor,,,,,http://joi.jlc.jst.go.jp/JST.JSTAGE/kikaic/77.1086?from=CrossRef https://joi.jlc.jst.go.jp/JST.JSTAGE/kikaic/77.1086?from=CrossRef,http://dx.doi.org/10.1299/kikaic.77.1086,,10.1299/kikaic.77.1086,2316831036,,0,008-576-780-573-566,0
105-621-180-780-234,A new revolute robot manipulator adapting the closed-chain mechanism,2005-01-10,2005,journal article,Journal of Robotic Systems,07412223,,,Hyeung-Sik Choi; Jung-Min Oh,"Conventional robot manipulators actuated by motors with conventional speed reducers such as the harmonic drive or RV have weakness in the load capacity since the speed reducers are not stiff enough. To overcome this, we propose a four-bar-link actuator driven by the ball screw, which has a high stiffness and high torque transmission ability, and propose a new type of four degree-of-freedom revolute robot manipulator adapting the proposed actuators. The base joint of the robot is actuated by the motor with the conventional speed reducer, and the other joints are actuated by the proposed actuators. The kinematics and dynamics of the robot are analyzed in the joint coordinate and in the Cartesian coordinate. For the performance tests of the robot, a four degree-of-freedom revolute robot was built. Through the performance tests, the results of superior load capacity and positioning accuracy are presented. © 2005 Wiley Periodicals, Inc.",22,2,99,109,Snake-arm robot; Cartesian coordinate robot; Engineering; Control engineering; Articulated robot; Robot calibration; Revolute joint; Control theory; Robot control; Robot kinematics; Robot end effector,,,,,https://doi.org/10.1002/rob.20051 https://dl.acm.org/citation.cfm?id=1060047 https://www.onlinelibrary.wiley.com/doi/abs/10.1002/rob.20051 https://dblp.uni-trier.de/db/journals/jfr/jfr22.html#ChoiO05,https://doi.org/10.1002/rob.20051,,,2159941108,,0,013-140-055-650-294; 025-712-890-427-252; 038-880-353-052-963; 090-610-192-158-024; 103-966-659-747-576; 192-570-302-865-905,4
106-338-845-189-821,Design of a hydraulic transmission system with series elastic element for a knee joint gait training application,,2018,,,,,,Rick Brons,"The restoration of the walking function of paraplegic patients requires long and extensive training. Physicians themselves are not able to provide this training due to the physical labour required. Robots and soft exoskeletons are in development to assist the physicians in this task, however, they are either bulky and restrictive or lack a method to actuate the knee joint. This research explores if a hydraulic system with elastic element is able to actuate a human knee joint during gait training. The hydraulic system is required to provide a torque of 75Nm with a bandwidth of 4Hz, the large force bandwidth, and a torque of 20Nm over a bandwidth of 12Hz, the small force bandwidth. The system must fit on a knee joint and impose the least amount of restrictions on the patient. Concepts that were identified as possible solutions in a previous literature review included a hydrostatic transmission, a system with a master rotary pump and a rotary slave actuator, a dual-acting hydraulic cylinder, and a master slave hydraulic cylinder system. Preliminary open loop simulation results suggest that the Hydrostatic transmission could give better performance in Torque transmission, size, and complexity. The bandwidth performance for both concepts was equal. The simulation model of the hydrostatic concept is expanded to include DC motor/driver dynamics, knee dynamics in swing phase, and ground reaction forces in stance phase. A physical test bed is designed to evaluate the simulation results with a real-world counterpart. Open loop and closed loop with PI controller results showed a significant decrease in the output torque magnitude for the real-world system, up to a factor 13 smaller. The output torque is decreased by the higher friction, slow pressure build-up and leakages in the real-world system. These factors are in part caused by the design choices made for the test bed design, such as the over-the-counter parts and usage of a 3D printed spring. Failure of the spring was observed at high torque and low frequency input signal. This was made worse by the large initial overshoot of the system in the closed loop tests. A more precise control scheme than the PI controller should be designed to prevent breakage. The real-world system is stable and the bandwidth of the system was larger than the 4Hz that is required for the application. For future research a smaller custom hydraulic loop will need to be created to alleviate the friction and leakage issues. Only then will a hydraulic system with series elastic element actuate a human knee to help a paraplegic patient walk again.",,,,,Transmission system; Hydraulic machinery; Torque; Open-loop controller; Actuator; Master/slave; Computer science; PID controller; Hydraulic cylinder; Control theory,,,,,http://resolver.tudelft.nl/uuid:15ecc5a7-1279-4b82-81c4-394ee1b278f1 https://repository.tudelft.nl/islandora/object/uuid%3A15ecc5a7-1279-4b82-81c4-394ee1b278f1 https://repository.tudelft.nl/islandora/object/uuid%3A15ecc5a7-1279-4b82-81c4-394ee1b278f1/datastream/OBJ/download,http://resolver.tudelft.nl/uuid:15ecc5a7-1279-4b82-81c4-394ee1b278f1,,,2789616072,,0,,0
